Date,Book_ID,Book_Name,Author,ISBN,Category,Branch_Name,Current_Stock,Daily_Sales,Rating,View_Count,Search_Count,Cumulative_View_Count,Cumulative_Search_Count,Event_Score
2025-01-26,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,75,7,4.5,24,15,865,270,16
2025-01-27,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,69,6,4.5,29,7,894,277,0
2025-01-28,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,64,5,4.6,18,5,912,282,12
2025-01-29,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,59,5,4.6,31,6,943,288,13
2025-01-30,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,53,6,4.5,25,9,968,297,10
2025-01-31,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,46,7,4.5,32,8,1000,305,6
2025-02-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,41,5,4.6,13,5,1013,310,8
2025-02-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,33,8,4.5,37,10,1050,320,16
2025-02-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,25,8,4.4,26,14,1076,334,2
2025-02-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,102,6,4.5,28,8,1104,342,8
2025-02-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,96,6,4.5,34,8,1138,350,6
2025-02-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,90,6,4.5,21,10,1159,360,10
2025-02-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,85,5,4.4,28,8,1187,368,0
2025-02-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,77,8,4.6,22,11,1209,379,17
2025-02-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,69,8,4.6,41,14,1250,393,1
2025-02-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,64,5,4.5,17,4,1267,397,6
2025-02-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,58,6,4.5,38,7,1305,404,7
2025-02-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,54,4,4.4,17,6,1322,410,16
2025-02-13,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,47,7,4.5,34,11,1356,421,17
2025-02-14,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,42,5,4.5,30,12,1386,433,11
2025-02-15,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,33,9,4.5,47,14,1433,447,19
2025-02-16,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,27,6,4.4,33,10,1466,457,5
2025-02-17,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,105,5,4.5,9,7,1475,464,15
2025-02-18,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,99,6,4.5,38,6,1513,470,9
2025-02-19,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,92,7,4.4,21,14,1534,484,11
2025-02-20,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,84,8,4.5,34,12,1568,496,8
2025-02-21,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,80,4,4.5,9,6,1577,502,5
2025-02-22,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,72,8,4.6,45,16,1622,518,15
2025-02-23,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,66,6,4.5,20,8,1642,526,4
2025-02-24,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,60,6,4.5,28,6,1670,532,17
2025-02-25,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,54,6,4.5,25,7,1695,539,6
2025-02-26,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,49,5,4.4,16,10,1711,549,9
2025-02-27,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,43,6,4.6,35,9,1746,558,18
2025-02-28,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,37,6,4.4,23,11,1769,569,14
2025-03-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,27,10,4.4,32,17,1801,586,18
2025-03-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,102,8,4.5,39,9,1840,595,16
2025-03-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,95,7,4.4,19,9,1859,604,15
2025-03-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,89,6,4.4,34,9,1893,613,15
2025-03-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,83,6,4.5,14,6,1907,619,5
2025-03-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,78,5,4.5,18,6,1925,625,8
2025-03-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,70,8,4.5,32,9,1957,634,5
2025-03-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,59,11,4.4,31,16,1988,650,2
2025-03-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,52,7,4.6,43,7,2031,657,3
2025-03-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,46,6,4.4,16,6,2047,663,13
2025-03-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,39,7,4.5,28,11,2075,674,16
2025-03-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,33,6,4.5,28,9,2103,683,9
2025-03-13,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,30,3,4.5,13,4,2116,687,17
2025-03-14,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,107,6,4.5,29,8,2145,695,14
2025-03-15,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,99,8,4.4,42,6,2187,701,10
2025-03-16,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,91,8,4.6,38,8,2225,709,13
2025-03-17,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,86,5,4.4,7,3,2232,712,0
2025-03-18,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,79,7,4.6,24,10,2256,722,19
2025-03-19,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,73,6,4.5,36,10,2292,732,16
2025-03-20,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,66,7,4.5,36,8,2328,740,10
2025-03-21,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,59,7,4.4,22,10,2350,750,9
2025-03-22,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,51,8,4.6,43,8,2393,758,12
2025-03-23,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,41,10,4.4,44,23,2437,781,6
2025-03-24,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,35,6,4.5,32,6,2469,787,11
2025-03-25,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,29,6,4.4,27,11,2496,798,4
2025-03-26,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,105,7,4.5,25,10,2521,808,5
2025-03-27,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,98,7,4.4,19,8,2540,816,11
2025-03-28,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,92,6,4.6,21,6,2561,822,17
2025-03-29,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,83,9,4.5,44,16,2605,838,18
2025-03-30,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,76,7,4.5,38,14,2643,852,19
2025-03-31,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,70,6,4.5,25,7,2668,859,13
2025-04-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,61,9,4.5,42,19,2710,878,4
2025-04-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,53,8,4.5,46,12,2756,890,1
2025-04-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,46,7,4.6,37,15,2793,905,13
2025-04-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,36,10,4.5,43,12,2836,917,13
2025-04-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,28,8,4.6,36,10,2872,927,16
2025-04-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,104,7,4.5,40,11,2912,938,1
2025-04-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,95,9,4.5,43,10,2955,948,11
2025-04-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,88,7,4.4,42,4,2997,952,18
2025-04-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,79,9,4.5,38,7,3035,959,0
2025-04-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,70,9,4.5,43,13,3078,972,62
2025-04-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,63,7,4.5,39,8,3117,980,55
2025-04-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,54,9,4.5,54,14,3171,994,54
2025-04-13,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,43,11,4.5,30,17,3201,1011,47
2025-04-14,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,35,8,4.6,29,12,3230,1023,72
2025-04-15,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,27,8,4.6,44,10,3274,1033,48
2025-04-16,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,100,10,4.5,41,12,3315,1045,68
2025-04-17,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,92,8,4.4,38,10,3353,1055,18
2025-04-18,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,84,8,4.4,50,9,3403,1064,11
2025-04-19,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,77,7,4.6,33,9,3436,1073,3
2025-04-20,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,67,10,4.4,31,10,3467,1083,10
2025-04-21,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,57,10,4.5,44,16,3511,1099,8
2025-04-22,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,49,8,4.5,28,13,3539,1112,4
2025-04-23,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,43,6,4.6,27,3,3566,1115,2
2025-04-24,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,35,8,4.5,34,8,3600,1123,7
2025-04-25,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,29,6,4.5,27,9,3627,1132,7
2025-04-26,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,102,10,4.5,55,18,3682,1150,7
2025-04-27,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,93,9,4.5,41,18,3723,1168,0
2025-04-28,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,84,9,4.5,40,13,3763,1181,8
2025-04-29,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,77,7,4.5,28,14,3791,1195,1
2025-04-30,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,67,10,4.5,53,13,3844,1208,9
2025-05-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,59,8,4.5,48,9,3892,1217,6
2025-05-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,53,6,4.6,36,7,3928,1224,7
2025-05-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,44,9,4.5,36,9,3964,1233,6
2025-05-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,35,9,4.5,51,12,4015,1245,4
2025-05-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,29,6,4.5,43,8,4058,1253,18
2025-05-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,25,4,4.5,16,5,4074,1258,2
2025-05-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,101,7,4.4,42,5,4116,1263,7
2025-05-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,96,5,4.5,26,7,4142,1270,38
2025-05-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,91,5,4.5,26,6,4168,1276,59
2025-05-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,84,7,4.5,26,11,4194,1287,59
2025-05-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,79,5,4.5,19,4,4213,1291,53
2025-05-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,72,7,4.5,26,4,4239,1295,69
2025-05-13,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,65,7,4.6,25,9,4264,1304,31
2025-05-14,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,58,7,4.5,20,5,4284,1309,48
2025-05-15,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,50,8,4.5,43,10,4327,1319,0
2025-05-16,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,44,6,4.5,29,10,4356,1329,11
2025-05-17,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,37,7,4.5,35,10,4391,1339,14
2025-05-18,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,30,7,4.5,27,11,4418,1350,19
2025-05-19,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,106,7,4.6,37,12,4455,1362,11
2025-05-20,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,99,7,4.5,33,10,4488,1372,13
2025-05-21,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,92,7,4.6,25,13,4513,1385,8
2025-05-22,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,85,7,4.5,31,12,4544,1397,10
2025-05-23,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,81,4,4.4,25,9,4569,1406,14
2025-05-24,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,75,6,4.5,26,11,4595,1417,16
2025-05-25,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,67,8,4.6,31,9,4626,1426,13
2025-05-26,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,62,5,4.5,20,8,4646,1434,1
2025-05-27,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,55,7,4.5,22,9,4668,1443,0
2025-05-28,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,49,6,4.5,32,9,4700,1452,14
2025-05-29,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,44,5,4.5,15,4,4715,1456,0
2025-05-30,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,38,6,4.5,30,11,4745,1467,14
2025-05-31,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,29,9,4.5,43,17,4788,1484,12
2025-06-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,107,5,4.4,34,8,4822,1492,18
2025-06-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,99,8,4.5,44,13,4866,1505,1
2025-06-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,91,8,4.5,48,12,4914,1517,13
2025-06-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,84,7,4.4,31,9,4945,1526,6
2025-06-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,79,5,4.5,32,10,4977,1536,10
2025-06-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,74,5,4.4,3,11,4980,1547,6
2025-06-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,68,6,4.5,29,9,5009,1556,6
2025-06-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,59,9,4.5,36,20,5045,1576,19
2025-06-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,50,9,4.5,31,15,5076,1591,6
2025-06-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,43,7,4.6,29,12,5105,1603,16
2025-06-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,37,6,4.4,20,12,5125,1615,19
2025-06-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,30,7,4.5,27,12,5152,1627,17
2025-06-13,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,107,6,4.5,34,7,5186,1634,8
2025-06-14,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,100,7,4.5,28,7,5214,1641,8
2025-06-15,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,93,7,4.5,20,13,5234,1654,10
2025-06-16,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,85,8,4.5,39,16,5273,1670,10
2025-06-17,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,78,7,4.5,29,11,5302,1681,16
2025-06-18,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,72,6,4.5,37,7,5339,1688,19
2025-06-19,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,67,5,4.5,18,6,5357,1694,10
2025-06-20,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,63,4,4.5,22,7,5379,1701,3
2025-06-21,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,54,9,4.5,37,11,5416,1712,11
2025-06-22,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,48,6,4.6,22,3,5438,1715,11
2025-06-23,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,40,8,4.5,45,14,5483,1729,12
2025-06-24,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,33,7,4.5,35,10,5518,1739,2
2025-06-25,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,26,7,4.6,33,11,5551,1750,6
2025-06-26,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,104,5,4.4,16,8,5567,1758,10
2025-06-27,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,97,7,4.5,22,16,5589,1774,19
2025-06-28,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,88,9,4.5,54,13,5643,1787,8
2025-06-29,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,81,7,4.4,25,10,5668,1797,9
2025-06-30,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,74,7,4.5,32,11,5700,1808,11
2025-07-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,67,7,4.5,38,11,5738,1819,0
2025-07-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,58,9,4.4,48,8,5786,1827,16
2025-07-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,51,7,4.5,24,11,5810,1838,6
2025-07-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,45,6,4.5,17,6,5827,1844,18
2025-07-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,37,8,4.5,32,11,5859,1855,7
2025-07-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,28,9,4.4,36,20,5895,1875,5
2025-07-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,106,5,4.5,25,1,5920,1876,7
2025-07-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,99,7,4.4,30,8,5950,1884,5
2025-07-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,93,6,4.4,31,11,5981,1895,4
2025-07-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,86,7,4.5,40,13,6021,1908,3
2025-07-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,82,4,4.5,23,8,6044,1916,18
2025-07-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,74,8,4.6,23,16,6067,1932,19
2025-07-13,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,66,8,4.4,35,11,6102,1943,19
2025-07-14,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,59,7,4.5,32,14,6134,1957,3
2025-07-15,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,52,7,4.5,24,7,6158,1964,14
2025-07-16,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,44,8,4.6,33,11,6191,1975,15
2025-07-17,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,39,5,4.5,30,6,6221,1981,6
2025-07-18,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,32,7,4.5,41,10,6262,1991,0
