singlish,sinhala
wishwahahsahyah,විශ්වාසය
wwiishwaasaya,විශ්වාසය
wyshwaasaya,විශ්වාසය
wishwaeaesaeyae,විශ්වාසය
wishwaaaaasaayaa,විශ්වාසය
wyshwaassaya,විශ්වාසය
wiishwaasaya,විශ්වාසය
wishhwaashaya,විශ්වාසය
wishwahahssahyah,විශ්වාසය
wisshwaassaya,විශ්වාසය
wishhwaaashaya,විශ්වාසය
wisshwaassayaa,විශ්වාසය
wishwaaaasaayaa,විශ්වාසය
wishwaeaesaaeyae,විශ්වාසය
wiswaaaaasaayaa,විශ්වාසය
wisswaassaya,විශ්වාසය
wiswaaaasaayaa,විශ්වාසය
wiswahahsahyah,විශ්වාසය
wiswaeaesaeyae,විශ්වාසය
wishwaashaya,විශ්වාසය
wiiswaasaya,විශ්වාසය
wisshwaashaya,විශ්වාසය
wiisswaassaya,විශ්වාසය
visvaaasaya,විශ්වාසය
wyswwaasaya,විශ්වාසය
wiswaaeaesaeyae,විශ්වාසය
wiiswaasayaa,විශ්වාසය
wiswahahsahyyah,විශ්වාසය
wyswaasaya,විශ්වාසය
ahasha,අහස
aahaasaaa,අහස
aehaesae,අහස
aahaasaa,අහස
ahhahsah,අහස
aahassa,අහස
ahassa,අහස
ahhahssah,අහස
ahasa,අහස
aehaaesae,අහස
aahasha,අහස
kooutasa,කොටස
koutasa,කොටස
kotahsah,කොටස
kkotasa,කොටස
kottasha,කොටස
cotaasa,කොටස
kotahsaah,කොටස
kkottasa,කොටස
kotaesae,කොටස
kotasa,කොටස
kotaasaa,කොටස
kotasha,කොටස
kootassa,කොටස
kothasa,කොටස
kootasa,කොටස
kotassa,කොටස
kottasa,කොටස
chhotasa,කොටස
kotaaasaa,කොටස
kotaeesae,කොටස
kottasaa,කොටස
kothaasa,කොටස
cotasa,කොටස
chotasa,කොටස
kkothhasa,කොටස
kkothasa,කොටස
kotthasa,කොටස
kkothassa,කොටස
koothasha,කොටස
cothassa,කොටස
chothassa,කොටස
kotthhasa,කොටස
koothassa,කොටස
kkothaesae,කොටස
kothasha,කොටස
koothhasa,කොටස
kothassa,කොටස
koothasa,කොටස
kothahsaah,කොටස
kothaesae,කොටස
kouthhasa,කොටස
kothahsah,කොටස
kothhasa,කොටස
chothasa,කොටස
kothaasaa,කොටස
cothasa,කොටස
kouthasa,කොටස
kothhaasaa,කොටස
chaarannya,කාරණය
kaaaaaraanyaa,කාරණය
chaaranya,කාරණය
kkkaaranya,කාරණය
caaranya,කාරණය
kahahrahnyah,කාරණය
kaeaeraenyaae,කාරණය
caaaranya,කාරණය
kaeaeraenyae,කාරණය
kaaaaraanyaa,කාරණය
kkaaranya,කාරණය
kahhahrahnyah,කාරණය
kaaranya,කාරණය
bahtt,බත්
baht,බත්
baath,බත්
batt,බත්
baet,බත්
bath,බත්
bbatt,බත්
baett,බත්
bat,බත්
baat,බත්
bbaat,බත්
baahth,බත්
baethh,බත්
battth,බත්
baatth,බත්
bahth,බත්
bathh,බත්
bathhh,බත්
batth,බත්
baeth,බත්
welaendeselae,වෙළඳසැල
weelandeeseela,වෙළඳසැල
welanddhesela,වෙළඳසැල
welanddesela,වෙළඳසැල
welandeshela,වෙළඳසැල
welaanddeselaa,වෙළඳසැල
welahnndeselah,වෙළඳසැල
welandessela,වෙළඳසැල
wwelanddesela,වෙළඳසැල
welanddeshela,වෙළඳසැල
welaendesselae,වෙළඳසැල
velandesella,වෙළඳසැල
weealandeaseala,වෙළඳසැල
welandhesela,වෙළඳසැල
wealandeaseala,වෙළඳසැල
welahndeselah,වෙළඳසැල
weelandeesseela,වෙළඳසැල
welandesela,වෙළඳසැල
welandesssela,වෙළඳසැල
velandesela,වෙළඳසැල
welaandeselaa,වෙළඳසැල
welanddasela,වෙළඳසැල
welandaassela,වෙළඳසැල
welanddaselaa,වෙළඳසැල
wwealandaseala,වෙළඳසැල
welandhaasela,වෙළඳසැල
welandasela,වෙළඳසැල
welandashela,වෙළඳසැල
weelandaseela,වෙළඳසැල
weelandaseella,වෙළඳසැල
welaandaaaselaa,වෙළඳසැල
wealandaseala,වෙළඳසැල
velandasela,වෙළඳසැල
velanddasela,වෙළඳසැල
welaandaaselaa,වෙළඳසැල
welandashella,වෙළඳසැල
welaendaeselae,වෙළඳසැල
welandhasela,වෙළඳසැල
welahndahseelah,වෙළඳසැල
welaenndaeselae,වෙළඳසැල
welahndahselah,වෙළඳසැල
welandassela,වෙළඳසැල
welandddsela,වෙළඳසැල
welandssela,වෙළඳසැල
welaaendselae,වෙළඳසැල
welanddhsela,වෙළඳසැල
welahndsselah,වෙළඳසැල
veelandsela,වෙළඳසැල
welaanddselaa,වෙළඳසැල
welanddsela,වෙළඳසැල
wealandseaala,වෙළඳසැල
weelandssela,වෙළඳසැල
welandshela,වෙළඳසැල
weellandseela,වෙළඳසැල
welahndselah,වෙළඳසැල
velandsela,වෙළඳසැල
wealandseala,වෙළඳසැල
weelandseela,වෙළඳසැල
welandhsela,වෙළඳසැල
welandsela,වෙළඳසැල
welaandselaa,වෙළඳසැල
weelandshela,වෙළඳසැල
welaendselae,වෙළඳසැල
welaandhaaselaa,වෙළඳසැල
welahndhahsellah,වෙළඳසැල
wweelandhaseela,වෙළඳසැල
wealanndhaseala,වෙළඳසැල
welandhhassela,වෙළඳසැල
welandhhasela,වෙළඳසැල
welanddhhasela,වෙළඳසැල
welanddhasela,වෙළඳසැල
welandhassela,වෙළඳසැල
welaaandhaaselaa,වෙළඳසැල
weelandhaseela,වෙළඳසැල
welanndhashela,වෙළඳසැල
welaendhaeselae,වෙළඳසැල
welandhashela,වෙළඳසැල
wwelaendhaeselae,වෙළඳසැල
vvelandhasela,වෙළඳසැල
wealandhaseala,වෙළඳසැල
velandhasela,වෙළඳසැල
welandhasseela,වෙළඳසැල
welahndhahselah,වෙළඳසැල
madddhyamaraa,මධ්‍යමරෑ
madhhyaamaraa,මධ්‍යමරෑ
mahdhyaahmahrahah,මධ්‍යමරෑ
mahdhyahmahrahah,මධ්‍යමරෑ
maedhyaemaeeraeae,මධ්‍යමරෑ
maedhyaemaeraeae,මධ්‍යමරෑ
madhhyamaraa,මධ්‍යමරෑ
maadhyaamaaraaaa,මධ්‍යමරෑ
maadhyyaamaaraaaa,මධ්‍යමරෑ
maddhyamaraa,මධ්‍යමරෑ
madhyamaraa,මධ්‍යමරෑ
kkkamarava,කැමරාව
chamarava,කැමරාව
kaemaeeraevae,කැමරාව
kahmahhrahvah,කැමරාව
kaamaaraavaa,කැමරාව
chamaravaa,කැමරාව
kaemaeraevae,කැමරාව
camarava,කැමරාව
camaraava,කැමරාව
kamarrawa,කැමරාව
kkamarava,කැමරාව
kaamaaraavaaa,කැමරාව
kahmahrahvah,කැමරාව
kamarawa,කැමරාව
kamarava,කැමරාව
camarawa,කැමරාව
camaraawa,කැමරාව
chamarawa,කැමරාව
kaemaeraewae,කැමරාව
chamaarawa,කැමරාව
kkamarawa,කැමරාව
kaammaaraawaa,කැමරාව
kahmaahrahwah,කැමරාව
kahmahrahwah,කැමරාව
kamaravva,කැමරාව
kaamaaraawaa,කැමරාව
kkamaraawa,කැමරාව
kaemaeraewwae,කැමරාව
ppprashnaya,ප්‍රශ්නය
prassshnaya,ප්‍රශ්නය
phrashhnaya,ප්‍රශ්නය
praashnaayaa,ප්‍රශ්නය
pprashnaya,ප්‍රශ්නය
prahshnahyah,ප්‍රශ්නය
prashhnaya,ප්‍රශ්නය
prahshnaahyah,ප්‍රශ්නය
prashhhnaya,ප්‍රශ්නය
praaashnaayaa,ප්‍රශ්නය
prashnaya,ප්‍රශ්නය
praaeshnaeyae,ප්‍රශ්නය
phrashnaya,ප්‍රශ්නය
prasshnaya,ප්‍රශ්නය
praeshnaeyae,ප්‍රශ්නය
praaasnaayaa,ප්‍රශ්නය
phrassnaya,ප්‍රශ්නය
praesnaeyyae,ප්‍රශ්නය
prashnaaya,ප්‍රශ්නය
phrasnaya,ප්‍රශ්නය
prasnaya,ප්‍රශ්නය
ppraasnaya,ප්‍රශ්නය
praasnaayaa,ප්‍රශ්නය
prassnayaa,ප්‍රශ්නය
prassnaya,ප්‍රශ්නය
prahsnahyyah,ප්‍රශ්නය
praesnaeyae,ප්‍රශ්නය
pprasnaya,ප්‍රශ්නය
prahsnahyah,ප්‍රශ්නය
vaaettae,වත්ත
vathhtha,වත්ත
vaattaa,වත්ත
vaththa,වත්ත
vatta,වත්ත
vatttta,වත්ත
watta,වත්ත
vattttta,වත්ත
vaatttaa,වත්ත
vaettae,වත්ත
vahttah,වත්ත
vaahttah,වත්ත
waatta,වත්ත
waettae,වත්ත
waaettae,වත්ත
waththa,වත්ත
waatttta,වත්ත
wahttah,වත්ත
waththaa,වත්ත
waatttaa,වත්ත
vattaa,වත්ත
watttta,වත්ත
waattaa,වත්ත
waahttah,වත්ත
maaayawa,මායාව
maayava,මායාව
mahahyaahvah,මායාව
maaaaayaavaa,මායාව
maaaayaavaa,මායාව
mahahyahvah,මායාව
maaeaeyaevae,මායාව
maeaeyaevae,මායාව
maayawa,මායාව
maeaeyaewaae,මායාව
maayavva,මායාව
mahahyahwahh,මායාව
maaaaayaawaa,මායාව
maaaayaawaa,මායාව
maeaeyaewae,මායාව
mahahyahwah,මායාව
dumriyyah,දුම්රිය
dooomriya,දුම්රිය
dumriyah,දුම්රිය
dumriya,දුම්රිය
duumryya,දුම්රිය
dumriyaa,දුම්රිය
duuumriya,දුම්රිය
dumryya,දුම්රිය
dumriiyaa,දුම්රිය
dumrriyae,දුම්රිය
dumrriiya,දුම්රිය
dumriiya,දුම්රිය
dduumriya,දුම්රිය
dumriyae,දුම්රිය
ddumriya,දුම්රිය
doomriya,දුම්රිය
dhumriyaa,දුම්රිය
duumriya,දුම්රිය
dhumriya,දුම්රිය
madhhuraa,මැදුර
maedhurae,මැදුර
madhuura,මැදුර
madhoora,මැදුර
maadhuraa,මැදුර
madhoorra,මැදුර
maddhura,මැදුර
maddhuraa,මැදුර
madhuuura,මැදුර
madhura,මැදුර
mahdhuurah,මැදුර
mahdhurah,මැදුර
mmaadhuraa,මැදුර
maedhuurae,මැදුර
madhhura,මැදුර
kuuruuuluu,කුරුළු
churuulu,කුරුළු
currulu,කුරුළු
kuuruuluu,කුරුළු
kurulu,කුරුළු
churulu,කුරුළු
koorooloo,කුරුළු
kkurrulu,කුරුළු
kkurulu,කුරුළු
curulu,කුරුළු
kooroooloo,කුරුළු
kkkolaya,කොළය
kolaeyyae,කොළය
colaya,කොළය
kkolahyah,කොළය
koulaya,කොළය
kolaayaa,කොළය
kollaayaa,කොළය
cholayya,කොළය
kkolaya,කොළය
koollaya,කොළය
koolaya,කොළය
colaaya,කොළය
cholaya,කොළය
kolaeyae,කොළය
kolahyah,කොළය
kolaya,කොළය
koulayya,කොළය
sariraya,ශරීරය
sssariraya,ශරීරය
ssariiraya,ශරීරය
saariraayaa,ශරීරය
saeriraeyae,ශරීරය
saryrayya,ශරීරය
sahrirahyah,ශරීරය
sariiraya,ශරීරය
ssaeriraeyae,ශරීරය
sharriraya,ශරීරය
ssariraya,ශරීරය
sahrirahhyah,ශරීරය
saryraya,ශරීරය
shariraya,ශරීරය
saarirraayaa,ශරීරය
sshareeeeraya,ශරීරය
shahreerahyah,ශරීරය
shareeeeraya,ශරීරය
shareaearaya,ශරීරය
shareeaearaya,ශරීරය
shaereeraeyaae,ශරීරය
sshareerayaa,ශරීරය
sshareeraya,ශරීරය
shharreeraya,ශරීරය
shaereeraeyae,ශරීරය
shahreeerahyah,ශරීරය
shhareeraya,ශරීරය
shaareeeraayaa,ශරීරය
shareeraya,ශරීරය
shaareeraayaa,ශරීරය
saareeraayaa,ශරීරය
shareerraya,ශරීරය
saereeraeyae,ශරීරය
sareeeeraya,ශරීරය
ssaareeraayaa,ශරීරය
ssareeeraya,ශරීරය
sahreerahyah,ශරීරය
sareaearraya,ශරීරය
saerreeraeyae,ශරීරය
ssareeeeraya,ශරීරය
sareaearaya,ශරීරය
sahrreerahyah,ශරීරය
sareeraya,ශරීරය
ssareeraya,ශරීරය
shhariraya,ශරීරය
shariirayaa,ශරීරය
ssshariraya,ශරීරය
sshariraya,ශරීරය
shharriraya,ශරීරය
sshahrirahyah,ශරීරය
sharyrraya,ශරීරය
shaariraayaa,ශරීරය
shahrirahyah,ශරීරය
sharyraya,ශරීරය
shariiraya,ශරීරය
shaeriraeyae,ශරීරය
shaarirraayaa,ශරීරය
shaeriraeeyae,ශරීරය
selahsumah,සැලසුම
shelashuma,සැලසුම
shelaashuma,සැලසුම
seealasuma,සැලසුම
sellasuuma,සැලසුම
selaessumae,සැලසුම
selaasumaa,සැලසුම
selasuma,සැලසුම
selaasumaaa,සැලසුම
seelassuma,සැලසුම
sselassuma,සැලසුම
selasooma,සැලසුම
sealasuma,සැලසුම
seelasuma,සැලසුම
selasuuma,සැලසුම
salasuma,සැලසුම
selasoomma,සැලසුම
selahssumah,සැලසුම
sselasssuma,සැලසුම
selaesumae,සැලසුම
poulouvaa,පොළොව
polovvaa,පොළොව
polovvae,පොළොව
pholova,පොළොව
phholova,පොළොව
polovah,පොළොව
polova,පොළොව
polowwa,පොළොව
poulouva,පොළොව
ppolova,පොළොව
pooloova,පොළොව
polovaa,පොළොව
ppollova,පොළොව
pooloovaa,පොළොව
polowa,පොළොව
polovae,පොළොව
poloovah,පොළොව
ppoolowa,පොළොව
polowah,පොළොව
poloowah,පොළොව
pholowa,පොළොව
pholowwa,පොළොව
ppolowa,පොළොව
pooloowa,පොළොව
poulouwa,පොළොව
polowaa,පොළොව
poolowae,පොළොව
poolloowa,පොළොව
polowae,පොළොව
poullouwa,පොළොව
polowwaa,පොළොව
dhiyapaaraa,දියපාර
diyaphaara,දියපාර
diyaepaeaerrae,දියපාර
diiyappaara,දියපාර
ddiyapaara,දියපාර
diyahpahahrah,දියපාර
dhiyapaara,දියපාර
diyaapaaaaraa,දියපාර
ddiyaapaaaaraa,දියපාර
diiyapaara,දියපාර
diyahpahahrahh,දියපාර
dyyapaara,දියපාර
diyapaara,දියපාර
ddiyyapaara,දියපාර
dyyapaaraa,දියපාර
diyapppaara,දියපාර
diyaepaeaerae,දියපාර
diyaphaaara,දියපාර
diyappaara,දියපාර
sahmudrahyah,සමුද්‍රය
samoodraya,සමුද්‍රය
samuddraaya,සමුද්‍රය
sssamudraya,සමුද්‍රය
sahmudraahyah,සමුද්‍රය
shamudraya,සමුද්‍රය
saemudraeyae,සමුද්‍රය
saamudraayaa,සමුද්‍රය
samuudraya,සමුද්‍රය
samudhraya,සමුද්‍රය
samuudhraya,සමුද්‍රය
samudraya,සමුද්‍රය
samuddraya,සමුද්‍රය
saeemudraeyae,සමුද්‍රය
samoodrayya,සමුද්‍රය
samuudraaya,සමුද්‍රය
ssamudraya,සමුද්‍රය
shamudraaya,සමුද්‍රය
saamudraayaaa,සමුද්‍රය
monaaaraa,මොණරා
mounara,මොණරා
moonaraa,මොණරා
moonara,මොණරා
monaahrah,මොණරා
monara,මොණරා
monaerae,මොණරා
monaaerae,මොණරා
mounaara,මොණරා
monahrah,මොණරා
monaaraa,මොණරා
waaniija,වාණිජ
waniija,වාණිජ
vaniija,වාණිජ
waenijaee,වාණිජ
wanija,වාණිජ
wanyja,වාණිජ
waenijae,වාණිජ
waahnijah,වාණිජ
waanyja,වාණිජ
waaanijaa,වාණිජ
vanija,වාණිජ
waanijaa,වාණිජ
wahnijah,වාණිජ
vaeenijae,වාණිජ
vahnijah,වාණිජ
vaaanijaa,වාණිජ
vaanijaa,වාණිජ
vahnijaah,වාණිජ
vanyja,වාණිජ
vanyjja,වාණිජ
vaenijae,වාණිජ
vaaniija,වාණිජ
raehaesyae,රහස්‍ය
rahasya,රහස්‍ය
rahashya,රහස්‍ය
raahaasyaa,රහස්‍ය
rahhahsyah,රහස්‍ය
rrahashya,රහස්‍ය
raahhaasyaa,රහස්‍ය
raehaesyaae,රහස්‍ය
rahhahhsyah,රහස්‍ය
rahassya,රහස්‍ය
rrahassya,රහස්‍ය
gahndrah,ගන්දර
gandddra,ගන්දර
ganddra,ගන්දර
ggandra,ගන්දර
gandra,ගන්දර
ghhandra,ගන්දර
gandhra,ගන්දර
gaaandraa,ගන්දර
gaendrae,ගන්දර
gahndraah,ගන්දර
gaaendrae,ගන්දර
ghandra,ගන්දර
gggandra,ගන්දර
gandhrra,ගන්දර
gaandraa,ගන්දර
gaandaaraaa,ගන්දර
gandhara,ගන්දර
ggandaraa,ගන්දර
ganddara,ගන්දර
gaendaerae,ගන්දර
ganddaraa,ගන්දර
gahndahrah,ගන්දර
ggandhara,ගන්දර
gahndahrahh,ගන්දර
gaandaaraa,ගන්දර
gandara,ගන්දර
ghandara,ගන්දර
ghandarra,ගන්දර
gaaendaerae,ගන්දර
ggandara,ගන්දර
gandhhara,ගන්දර
gaendhaerae,ගන්දර
ganddhara,ගන්දර
gahnndhahrah,ගන්දර
ggaandhara,ගන්දර
gandddhara,ගන්දර
gaendhhaerae,ගන්දර
gandhhhara,ගන්දර
ggaandhaaraa,ගන්දර
ghandhara,ගන්දර
ghaandhara,ගන්දර
gahndhahrah,ගන්දර
gaandhaaraa,ගන්දර
goleaeaaya,ගෝලීය
goleeya,ගෝලීය
goooleeya,ගෝලීය
goleeeeeya,ගෝලීය
goleaeaya,ගෝලීය
gholeeeya,ගෝලීය
goleeeeya,ගෝලීය
ggoleeeya,ගෝලීය
goleeyah,ගෝලීය
gouleeya,ගෝලීය
goleeyaa,ගෝලීය
gholeeya,ගෝලීය
ggoleeya,ගෝලීය
gooleeya,ගෝලීය
goleeeyae,ගෝලීය
goleeyae,ගෝලීය
gooleeyaa,ගෝලීය
goouleeya,ගෝලීය
golleeyah,ගෝලීය
ggoliya,ගෝලීය
gholiya,ගෝලීය
goliiyaa,ගෝලීය
goouliya,ගෝලීය
goliyae,ගෝලීය
goliyah,ගෝලීය
goliyyaa,ගෝලීය
goolyya,ගෝලීය
goliiyae,ගෝලීය
goliiya,ගෝලීය
golyya,ගෝලීය
gouliya,ගෝලීය
ggolliya,ගෝලීය
goooliya,ගෝලීය
ghooliya,ගෝලීය
gooliya,ගෝලීය
goliyaa,ගෝලීය
goliyahh,ගෝලීය
goliya,ගෝලීය
ppraveeshma,ප්‍රවේශම
praveashma,ප්‍රවේශම
praeveshmaae,ප්‍රවේශම
prahveshmmah,ප්‍රවේශම
praaveshmaa,ප්‍රවේශම
pravesshma,ප්‍රවේශම
praweeshma,ප්‍රවේශම
ppraaveshmaa,ප්‍රවේශම
prravesshma,ප්‍රවේශම
prahveshmah,ප්‍රවේශම
phraveshma,ප්‍රවේශම
ppraveshma,ප්‍රවේශම
pravveshhma,ප්‍රවේශම
praaveeshma,ප්‍රවේශම
phraaveshma,ප්‍රවේශම
praveshma,ප්‍රවේශම
praveeshma,ප්‍රවේශම
praveshhma,ප්‍රවේශම
praveashmma,ප්‍රවේශම
praeveshmae,ප්‍රවේශම
praweshma,ප්‍රවේශම
prawesma,ප්‍රවේශම
praveesmma,ප්‍රවේශම
pravessmma,ප්‍රවේශම
praveasmma,ප්‍රවේශම
praavesmaa,ප්‍රවේශම
phhravesma,ප්‍රවේශම
prahveesmah,ප්‍රවේශම
ppravesma,ප්‍රවේශම
pppravesma,ප්‍රවේශම
phravesma,ප්‍රවේශම
praveesma,ප්‍රවේශම
pravessma,ප්‍රවේශම
praveasma,ප්‍රවේශම
praevesmae,ප්‍රවේශම
pprawesma,ප්‍රවේශම
praaveesmaa,ප්‍රවේශම
prahvesmah,ප්‍රවේශම
praaevesmae,ප්‍රවේශම
pravesma,ප්‍රවේශම
laamaayaa,ළමයා
laemaeyae,ළමයා
laemmaeyae,ළමයා
lamaya,ළමයා
laamaayaaa,ළමයා
lahmahyahh,ළමයා
lahmahyah,ළමයා
wiyaedem,වියදම්
wiyadeem,වියදම්
viyadem,වියදම්
wiyahdem,වියදම්
wiyaddeem,වියදම්
viyadeem,වියදම්
wiyaaddem,වියදම්
wiiyadem,වියදම්
wwiyaadem,වියදම්
wiyyadeam,වියදම්
wyyadem,වියදම්
wiyaddem,වියදම්
wiiyaadem,වියදම්
wiyahhdem,වියදම්
wiyaadem,වියදම්
wiyaddhem,වියදම්
wyyyadem,වියදම්
wiyadem,වියදම්
wiyaaedem,වියදම්
wiyadeam,වියදම්
wiyadhem,වියදම්
wiiyaadhaam,වියදම්
wiyyaedhaem,වියදම්
wiyadham,වියදම්
wiyaddhham,වියදම්
wiyahdhahm,වියදම්
viyadham,වියදම්
wiyadhham,වියදම්
wwiiyadham,වියදම්
wiyaddhaam,වියදම්
wiiyadham,වියදම්
wiyyahdhahm,වියදම්
wyyadham,වියදම්
wiyaddham,වියදම්
wyyaadham,වියදම්
wiyaedhaem,වියදම්
wiyaadhaam,වියදම්
viyaddham,වියදම්
wiyaaedm,වියදම්
wwiyaddm,වියදම්
wiyaddm,වියදම්
wiyahdm,වියදම්
wiiyaddm,වියදම්
viyadm,වියදම්
wwyyadm,වියදම්
wiyaedm,වියදම්
wiyaadm,වියදම්
wiyyadhm,වියදම්
wyyadm,වියදම්
wiyadhm,වියදම්
wiyahdmm,වියදම්
viyaadm,වියදම්
wiyaadmm,වියදම්
wiiyadm,වියදම්
wiyadm,වියදම්
wiyahdahm,වියදම්
wiyaddam,වියදම්
wiyaadaam,වියදම්
wiyaeedaem,වියදම්
wyyaddam,වියදම්
wyyadam,වියදම්
wiyahhdahm,වියදම්
viyaddam,වියදම්
wiyaaddam,වියදම්
viyadam,වියදම්
wiyaadaamm,වියදම්
wiyadam,වියදම්
wiyaedaem,වියදම්
wiiyadam,වියදම්
wiiyaddam,වියදම්
cale,කැලේ
calle,කැලේ
chale,කැලේ
chhale,කැලේ
kale,කැලේ
kkale,කැලේ
kalea,කැලේ
kaleee,කැලේ
kaalle,කැලේ
kkalle,කැලේ
kahle,කැලේ
kaelee,කැලේ
kalee,කැලේ
kaale,කැලේ
kaalea,කැලේ
kaele,කැලේ
kahhle,කැලේ
kkkarmaaya,කර්මය
kkaermaeaeyae,කර්මය
kahrmahahyah,කර්මය
kaermaeaeyae,කර්මය
kaarmaaaayyaa,කර්මය
caarmaaya,කර්මය
chaarmaaya,කර්මය
karmaaya,කර්මය
carmaaya,කර්මය
kaarmaaaayaa,කර්මය
kahrrmahahyah,කර්මය
charmaaya,කර්මය
kkarmaaya,කර්මය
yyacshaya,යක්ෂයා
yaeekshaeyae,යක්ෂයා
yacshaya,යක්ෂයා
yakshaya,යක්ෂයා
yaksshaya,යක්ෂයා
yakkshhaya,යක්ෂයා
yachshaya,යක්ෂයා
yaksshaaya,යක්ෂයා
yahkshahyah,යක්ෂයා
yachshaaya,යක්ෂයා
yakkshayya,යක්ෂයා
yaekshaeyae,යක්ෂයා
yakkshaya,යක්ෂයා
yahhkshahyah,යක්ෂයා
yaakshaayaa,යක්ෂයා
yaaakshaayaa,යක්ෂයා
yakshhaya,යක්ෂයා
yaksssaya,යක්ෂයා
yaksaya,යක්ෂයා
yaeksaeyae,යක්ෂයා
yakksayaa,යක්ෂයා
yaaksaayaaa,යක්ෂයා
yaekssaeyae,යක්ෂයා
yahhksahyah,යක්ෂයා
yachsaya,යක්ෂයා
yaaksaayaa,යක්ෂයා
yahksahyah,යක්ෂයා
yachhsaya,යක්ෂයා
yakksaya,යක්ෂයා
yacssaya,යක්ෂයා
yakssaya,යක්ෂයා
yacsaya,යක්ෂයා
raaasaaaayaanaayaa,රසායනය
raashaayanaya,රසායනය
rrahsahahyahnahyah,රසායනය
raesaeaeyaenaeyae,රසායනය
rahsahahyahnahyah,රසායනය
rasaayanaya,රසායනය
rashaayanaya,රසායනය
rassaayanaya,රසායනය
raasaaaayaanaayaa,රසායනය
raesaeeaeyaenaeyae,රසායනය
rassaayannaya,රසායනය
aesae,ඇස
asha,ඇස
asssa,ඇස
assa,ඇස
ahhsah,ඇස
ahsah,ඇස
asa,ඇස
aaasaa,ඇස
aasaa,ඇස
aesaae,ඇස
ashaa,ඇස
vidooliya,විදුලිය
vidduliya,විදුලිය
viiiduliiya,විදුලිය
vidulliyaa,විදුලිය
viduuliya,විදුලිය
viduliyaee,විදුලිය
vidduliyya,විදුලිය
viduuuliya,විදුලිය
viduliyaa,විදුලිය
viiduliiya,විදුලිය
vidooliyaa,විදුලිය
widuuliya,විදුලිය
vidhuliya,විදුලිය
widuliya,විදුලිය
viduliyae,විදුලිය
viduliyah,විදුලිය
vyduulyya,විදුලිය
viduliiyah,විදුලිය
vydulyya,විදුලිය
viduliya,විදුලිය
viddhuliya,විදුලිය
paarivaarthaanaayaa,පරිවර්තනය
pariivarthanayaa,පරිවර්තනය
parivarthhhanaya,පරිවර්තනය
paarivaarthhaanaayaa,පරිවර්තනය
pariwarthanaya,පරිවර්තනය
parivarttthanaya,පරිවර්තනය
paerrivaerthaenaeyae,පරිවර්තනය
pahrivahrthahnahyah,පරිවර්තනය
pariivarthanaya,පරිවර්තනය
pparivarthanaya,පරිවර්තනය
parivartthanaya,පරිවර්තනය
parivarthanaya,පරිවර්තනය
paryvarthanaya,පරිවර්තනය
pparivarthhanaya,පරිවර්තනය
