singlish,sinhala
jiwithaya,ජීවිතය
jeewitaya,ජීවිතය
jiwitaya,ජීවිතය
jeewithaya,ජීවිතය
savasa,සවස
sawasa,සවස
kunaatuwa,කුණාටුව
kunaatuva,කුණාටුව
randwaa,රඳවා
randvaa,රඳවා
randavaa,රඳවා
randawaa,රඳවා
sundara,සුන්දර
sundera,සුන්දර
sundra,සුන්දර
wedabima,වැඩබිම
wedbima,වැඩබිම
aalokaya,ආලෝකය
bas,බස්
sathawarshaya,ශතවර්ෂය
shatavarshaya,ශතවර්ෂය
satawarshaya,ශතවර්ෂය
shathawarshaya,ශතවර්ෂය
shathavarshaya,ශතවර්ෂය
abhirahas,අභිරහස්
hirubasayama,හිරුබැසයාම
trasajanaka,ත්‍රාසජනක
thrasajanaka,ත්‍රාසජනක
gaayanaya,ගායනය
pol,පොල්
jangamaya,ජංගමය
diyaniya,දියණිය
welandapola,වෙළඳපොළ
welandpola,වෙළඳපොළ
kirana,කිරණ
maasaya,මාසය
sohoyura,සොහොයුරා
sathyaya,සත්‍යය
satyaya,සත්‍යය
priya,ප්‍රිය
pariganakaya,පරිගණකය
puhunuwa,පුහුණුව
puhunuva,පුහුණුව
aparadhaya,අපරාධය
aliya,අලියා
satana,සටන
galla,ගාල්ල
lekhakaya,ලේඛකයා
athdekeema,අත්දැකීම
athdakima,අත්දැකීම
athdekima,අත්දැකීම
athdkima,අත්දැකීම
athdakeema,අත්දැකීම
atdakeema,අත්දැකීම
adu,අඩු
awahira,අවහිර
avahira,අවහිර
harita,හරිත
haritha,හරිත
davala,දවාල
devala,දවාල
dvala,දවාල
dhavala,දවාල
dawala,දවාල
podi,පොඩි
premaya,ප්‍රේමය
anumaanaya,අනුමානය
pravruththiya,ප්‍රවෘත්තිය
pravrutthiya,ප්‍රවෘත්තිය
mawa,මව
mava,මව
gedi,ගෙඩි
anusaasanaya,අනුශාසනය
anushaasanaya,අනුශාසනය
karthru,කර්තෘ
kartru,කර්තෘ
nitara,නිතර
nithara,නිතර
chikithsawa,චිකිත්සාව
chikitsawa,චිකිත්සාව
chikitsava,චිකිත්සාව
kaha,කහ
sabandathawa,සබඳතාව
sabandhatawa,සබඳතාව
sabandethava,සබඳතාව
sabandtava,සබඳතාව
pituva,පිටුව
pituwa,පිටුව
kurulla,කුරුල්ලා
meeduma,මීදුම
miduma,මීදුම
visala,විශාල
vishala,විශාල
vishaya,විෂය
visaya,විෂය
satura,සතුරා
sathura,සතුරා
amma,අම්මා
hinava,හිනාව
hinawa,හිනාව
tharanya,තරණය
taranya,තරණය
nuwara,නුවර
nuvara,නුවර
ahimi,අහිමි
aagama,ආගම
upaayaya,උපායය
mawata,මාවත
mavatha,මාවත
mawatha,මාවත
mavata,මාවත
chitrapataya,චිත්‍රපටය
chithrapataya,චිත්‍රපටය
kolamba,කොළඹ
unusuma,උණුසුම
hansaya,හංසයා
wardhanaya,වර්ධනය
vardhanaya,වර්ධනය
udaraya,උදරය
uderaya,උදරය
udharaya,උදරය
winodeya,විනෝදය
winodaya,විනෝදය
yuddhaya,යුද්ධය
deshanaya,දේශනය
desanaya,දේශනය
kuda,කුඩා
kude,කුඩා
kudha,කුඩා
kud,කුඩා
saktimath,ශක්තිමත්
shaktimat,ශක්තිමත්
shaktimath,ශක්තිමත්
saktimat,ශක්තිමත්
upata,උපත
upatha,උපත
vidyalaya,විද්‍යාලය
adhasa,අදහස
adehasa,අදහස
adahasa,අදහස
maayam,මායම්
kathawa,කතාව
katawa,කතාව
katava,කතාව
kathava,කතාව
nihatamaanee,නිහතමානී
nihatamaani,නිහතමානී
maattuva,මාට්ටුව
maattuwa,මාට්ටුව
vahibindu,වැහිබිඳු
wahibindu,වැහිබිඳු
athhade,අත්හදා
athade,අත්හදා
athadha,අත්හදා
athhada,අත්හදා
motor,මෝටර්
nil,නිල්
mati,මැටි
ganitaya,ගණිතය
ganithaya,ගණිතය
sampradhaaya,සම්ප්‍රදාය
jayagrahanaya,ජයග්‍රහණය
podu,පොදු
gaweshanaya,ගවේෂණය
gawesanaya,ගවේෂණය
vadde,වැද්දා
waddha,වැද්දා
wadda,වැද්දා
puhunuwa,පුහුනුව
puhunuva,පුහුනුව
bhutaya,භූතයා
bhuthaya,භූතයා
bhoothaya,භූතයා
bhootaya,භූතයා
maranaya,මරණය
pathrikawa,පත්‍රිකාව
patrikava,පත්‍රිකාව
pathrikava,පත්‍රිකාව
mrudukangaya,මෘදුකාංගය
guvan,ගුවන්
guwan,ගුවන්
deseeya,දේශීය
deshiya,දේශීය
desheeya,දේශීය
navina,නවීන
naveena,නවීන
wasanthaya,වසන්තය
vasanthaya,වසන්තය
wasantaya,වසන්තය
kalu,කළු
naagarika,නාගරික
sevanali,සෙවණැලි
sewanali,සෙවණැලි
doratuwa,දොරටුව
doratuva,දොරටුව
sellam,සෙල්ලම්
kos,කොස්
senpathiya,සෙන්පතියා
senpatiya,සෙන්පතියා
sagaraya,සාගරය
anaagathaya,අනාගතය
anaagataya,අනාගතය
paya,පය
welanda,වෙළඳ
welande,වෙළඳ
welandha,වෙළඳ
awurudda,අවුරුද්ද
awuruddha,අවුරුද්ද
awurudde,අවුරුද්ද
wenasa,වෙනස
parajaya,පරාජය
abhirahasa,අභිරහස
ganga,ගඟ
tharukata,තරුකැට
tarukata,තරුකැට
rahasa,රහස
ghathakaya,ඝාතකයා
ghatakaya,ඝාතකයා
rohala,රෝහල
wisheshaaya,විශේෂය
aahara,ආහාර
saakachchaawa,සාකච්ඡාව
saakachchaava,සාකච්ඡාව
avakaashaya,අවකාශය
avakaasaya,අවකාශය
udyogaya,උද්යෝගය
paenirasa,පැණිරස
wrukaya,වෘකයා
walakulu,වළාකුළු
valakulu,වළාකුළු
saraansaya,සාරාංශය
saraanshaya,සාරාංශය
paturu,පතුරු
pathuru,පතුරු
aasava,ආසාව
aasawa,ආසාව
apara,අපාර
atheethaya,අතීතය
athithaya,අතීතය
ateethaya,අතීතය
kurunegala,කුරුණෑගල
maha,මහ
jeewiya,ජීවියා
jiwiya,ජීවියා
pramaanaya,ප්‍රමාණය
kaalaya,කාලය
aadaraya,ආදරය
aadraya,ආදරය
aaderaya,ආදරය
pilitura,පිළිතුර
pilithura,පිළිතුර
sathiya,සතිය
satiya,සතිය
mila,මිල
shaapaya,ශාපය
saapaya,ශාපය
rangaya,රංගය
sangrahaya,සංග‍්‍රහය
paliganima,පළිගැනීම
gahaniya,ගැහැනිය
seramik,සෙරමික්
holman,හොල්මන්
sajiwee,සජීවී
sajeewee,සජීවී
wedanawa,වේදනාව
wedanava,වේදනාව
wedenava,වේදනාව
wedhanawa,වේදනාව
dawasa,දවස
dwasa,දවස
dewasa,දවස
davasa,දවස
hora,හොරා
madhyama,මධ්‍යම
sihin,සිහින
yugaya,යුගය
oralosuwa,ඔරලෝසුව
oralosuva,ඔරලෝසුව
vanaya,වනය
wanaya,වනය
gigurum,ගිගුරුම්
polaga,පොළඟ
maalaya,මාලය
gama,ගම
sudu,සුදු
sata,සතා
satha,සතා
wiswaya,විශ්වය
wishvaya,විශ්වය
wishwaya,විශ්වය
unusum,උණුසුම්
avasan,අවසන්
awasan,අවසන්
nyaaya,න්‍යායා
nihandha,නිහඬ
nihanda,නිහඬ
nihande,නිහඬ
ausadhaya,ඖෂධය
satkaarayaya,සත්කාරය
sathkaarayaya,සත්කාරය
kola,කොළ
udasana,උදෑසන
udaasana,උදෑසන
udeasana,උදෑසන
rahaspariksaka,රහස්පරීක්ෂක
rahaspareekshaka,රහස්පරීක්ෂක
rahasparikshaka,රහස්පරීක්ෂක
rahaspareeksaka,රහස්පරීක්ෂක
kandukaraya,කඳුකරය
muduva,මුදුව
muduwa,මුදුව
ridee,රිදී
ridi,රිදී
pratisangskarannaya,ප්‍රතිසංස්කරණය
prathisangskarannaya,ප්‍රතිසංස්කරණය
maaligawa,මාළිගාව
maaligava,මාළිගාව
internet,ඉන්ටර්නෙට්
prabhaawaya,פּרභාවය
prabhaavaya,פּרභාවය
seetala,සීතල
seethala,සීතල
sitala,සීතල
chandya,ඡන්දය
chandhaya,ඡන්දය
chandaya,ඡන්දය
piya,පියා
susum,සුසුම්
sande,සඳ
sanda,සඳ
palathuru,පළතුරු
palaturu,පළතුරු
rajina,රැජින
gowiya,ගොවියා
sulanga,සුළඟ
sithuwili,සිතුවිලි
situwili,සිතුවිලි
asanipa,අසනීප
asaneepa,අසනීප
palamu,පළමු
makara,මකරා
guruvaru,ගුරුවරු
guruwaru,ගුරුවරු
rataya,රථය
rathaya,රථය
samipa,සමීප
sameepa,සමීප
aadhara,ආදර
aadara,ආදර
guruvaraya,ගුරුවරයා
guruwaraya,ගුරුවරයා
miniheku,මිනිහෙකු
vanantaraya,වනන්තරය
wanantaraya,වනන්තරය
wanantharaya,වනන්තරය
vanantharaya,වනන්තරය
dam,දම්
dm,දම්
bhaavitaya,භාවිතය
bhaavithaya,භාවිතය
gimhanaya,ගිම්හානය
upadesaya,උපදේශය
upadeshaya,උපදේශය
vikaashaya,විකාශය
vikaasaya,විකාශය
aaradhanaya,ආරාධනය
pathiraaj,පතිරාජ
patiraaj,පතිරාජ
kukula,කුකුළා
hinaya,හීනය
heenaya,හීනය
anduru,අඳුරු
satwaya,සත්වය
sathvaya,සත්වය
satvaya,සත්වය
sathwaya,සත්වය
ata,අත
atha,අත
aluth,අලුත්
alut,අලුත්
aabharanaya,ආභරණය
bhautikaya,භෞතිකය
bhauthikaya,භෞතිකය
nimnaya,නිම්නය
dharagath,දරාගත්
daragath,දරාගත්
deragat,දරාගත්
anugamanaya,අනුගමනය
vaariya,වාරිය
waariya,වාරිය
sarpaya,සර්පයා
sora,සොරා
guvanyaana,ගුවන්යානය
guwanyaana,ගුවන්යානය
gitaya,ගීතය
geetaya,ගීතය
githaya,ගීතය
geethaya,ගීතය
kotuwa,කොටුව
kotuva,කොටුව
paribhojanaya,පරිභෝජනය
hiru,හිරු
gas,ගස්
aaharaya,ආහාරය
siyalu,සියලු
paara,පාර
kandula,කඳුළ
awasthawa,අවස්ථාව
awastawa,අවස්ථාව
avastawa,අවස්ථාව
dhammaachaaraya,ධම්මාචාරය
yahapata,යහපත
yahapatha,යහපත
vassa,වැස්ස
wassa,වැස්ස
mitiyawatha,මිටියාවත
mitiyavatha,මිටියාවත
luunu,ලූණු
makara,මකර
kreedha,ක්‍රීඩා
kreed,ක්‍රීඩා
krida,ක්‍රීඩා
kreeda,ක්‍රීඩා
deviya,දෙවියා
mula,මුල
anyonya,අන්‍යෝන්‍ය
watura,වතුර
vathura,වතුර
vatura,වතුර
wathura,වතුර
naasaya,නාසය
sisun,සිසුන්
raju,රජු
kiri,කිරි
rosa,රෝස
sathuta,සතුට
satuta,සතුට
deruva,දරුවා
daruwa,දරුවා
daruva,දරුවා
deruwa,දරුවා
kandha,කන්ද
kanda,කන්ද
roopavaahiniya,රූපවාහිනිය
rupavaahiniya,රූපවාහිනිය
manobhaawaya,මනෝභාවය
manobhaavaya,මනෝභාවය
kaantharaya,කාන්තාරය
kaantaraya,කාන්තාරය
hima,හිම
sadhaachaaraya,සදාචාරය
sadaachaaraya,සදාචාරය
togaya,තොගය
thogaya,තොගය
waranaya,වරණය
varanaya,වරණය
pabala,පබල
kade,කඩේ
bhayanaka,භයානක
mal,මල්
kaematiya,කැමතිය
kaemathiya,කැමතිය
rasaya,රසේය
gunathmaka,ගුණාත්මක
gunatmaka,ගුණාත්මක
satahan,සටහන්
hamudva,හමුදාව
hamudewa,හමුදාව
hamudeva,හමුදාව
hamudwa,හමුදාව
hamudawa,හමුදාව
hamudava,හමුදාව
wikruthi,විකෘති
wikruti,විකෘති
adewiya,අඩවිය
adawiya,අඩවිය
parisaraya,පරිසරය
rathriya,රාත්‍රිය
ratriya,රාත්‍රිය
pratiksepaya,ප්‍රතික්‍ෂේපය
pratikshepaya,ප්‍රතික්‍ෂේපය
prathikshepaya,ප්‍රතික්‍ෂේපය
prathiksepaya,ප්‍රතික්‍ෂේපය
parigamanaya,පරිගමනය
arana,අරණ
doopata,දූපත
dupatha,දූපත
doopatha,දූපත
dupata,දූපත
bijaya,බීජය
beejaya,බීජය
andura,අඳුර
arunalu,අරුණලු
kana,කණ
varnaya,වර්ණය
warnaya,වර්ණය
araksava,ආරක්ෂාව
araksawa,ආරක්ෂාව
gataluva,ගැටලුව
gataluwa,ගැටලුව
elidakwima,එළිදක්වීම
elidekweema,එළිදක්වීම
elidakweema,එළිදක්වීම
elidkwima,එළිදක්වීම
nodutu,නොදුටු
mathakaya,මතකය
matakaya,මතකය
nirmaanaya,නිර්මාණය
paalama,පාලම
gedera,ගෙදර
gedara,ගෙදර
muhuna,මුහුණ
pareeksanaya,පරීක්ෂණය
pareekshanaya,පරීක්ෂණය
pariksanaya,පරීක්ෂණය
jalaya,ජලය
boruwa,බොරුව
boruva,බොරුව
purawruththaya,පුරාවෘත්තය
purawrutthaya,පුරාවෘත්තය
mitura,මිතුරා
mithura,මිතුරා
sudusu,සුදුසු
thirasara,තිරසාර
tirasara,තිරසාර
mohota,මොහොත
peraliya,පෙරළිය
sihinaya,සිහිනය
otthukaru,ඔත්තුකරු
ottukaru,ඔත්තුකරු
gamana,ගමන
potha,පොත
pota,පොත
phalaya,ඵලය
krusikaarmika,කෘෂිකාර්මික
krushikaarmika,කෘෂිකාර්මික
koti,කොටි
jeewavidhyaawa,ජීවවිද්‍යාව
jivavidhyaawa,ජීවවිද්‍යාව
jeevavidhyaawa,ජීවවිද්‍යාව
sandiliya,සඳඑළිය
sandhaeliya,සඳඑළිය
sandeliya,සඳඑළිය
sandaeliya,සඳඑළිය
panti,පන්ති
panthi,පන්ති
magapenweema,මගපෙන්වීම
magapenwima,මගපෙන්වීම
akunu,අකුණු
ratu,රතු
rathu,රතු
kumariya,කුමරිය
balla,බල්ලා
wartamanaya,වර්තමානය
warthamanaya,වර්තමානය
varthamanaya,වර්තමානය
vartamanaya,වර්තමානය
le,ලේ
samruddhiya,සමෘද්ධිය
takkaali,තක්කාලි
thakkaali,තක්කාලි
yaatraava,යාත්‍රාව
yaatraawa,යාත්‍රාව
yaathraava,යාත්‍රාව
yaathraawa,යාත්‍රාව
vadi,වැඩි
wadi,වැඩි
samajaya,සමාජය
ran,රන්
tharu,තරු
taru,තරු
paasala,පාසල
pahana,පහන
taapasaya,තාපසයා
thaapasaya,තාපසයා
abhimaanaya,අභිමානය
punchi,පුංචි
balaporoththuva,බලාපොරොත්තුව
balaporoththuwa,බලාපොරොත්තුව
balaporotthuva,බලාපොරොත්තුව
balaporotthuwa,බලාපොරොත්තුව
durakatanaya,දුරකථනය
durakathanaya,දුරකථනය
mala,මල
svayankreeya,ස්වයංක්‍රීය
svayankriya,ස්වයංක්‍රීය
swayankreeya,ස්වයංක්‍රීය
swayankriya,ස්වයංක්‍රීය
parana,පරණ
wisanduma,විසඳුම
alutma,අලුත්ම
aluthma,අලුත්ම
suwatawa,සුවතාව
suvathawa,සුවතාව
suwathawa,සුවතාව
suvatawa,සුවතාව
rajathuma,රජතුමා
rajatuma,රජතුමා
kaalagunaya,කාලගුණය
sansun,සන්සුන්
saamaya,සාමය
navikaranaya,නවීකරණය
naveekaranaya,නවීකරණය
sabae,සැබෑ
sangawunu,සැඟවුණු
wiswaasayak,විශ්වාසයක්
wishwaasayak,විශ්වාසයක්
wishvaasayak,විශ්වාසයක්
wisvaasayak,විශ්වාසයක්
gasa,ගස
pitapata,පිටපත
pitapatha,පිටපත
utsaahaya,උත්සාහය
uthsaahaya,උත්සාහය
pramaadaya,ප්‍රමාදය
pramaadeya,ප්‍රමාදය
pramaadhaya,ප්‍රමාදය
pramaadya,ප්‍රමාදය
adhyayana,අධ්‍යයනය
bankuwa,බැංකුව
bankuva,බැංකුව
rahasak,රහසක්
sohoyuriya,සොහොයුරිය
salu,සළු
kaduwa,කඩුව
kaduva,කඩුව
loku,ලොකු
elavalu,එළවළු
waahanaya,වාහනය
vaahanaya,වාහනය
te,තේ
the,තේ
wihilu,විහිළු
lohaya,ලෝහය
kusalathawa,කුසලතාව
kusalathava,කුසලතාව
kusalatawa,කුසලතාව
sumata,සුමට
sinhaya,සිංහයා
vibhaagaya,විභාගය
mandiraya,මන්දිරය
minisa,මිනිසා
wirahava,විරහව
wirahawa,විරහව
saukhyaya,සෞඛ්‍ය
weli,වැලි
sakthiya,ශක්තිය
saktiya,ශක්තිය
shakthiya,ශක්තිය
shaktiya,ශක්තිය
mas,මස්
mandhagaami,මන්දගාමී
mandagaami,මන්දගාමී
mandegaami,මන්දගාමී
guwanyanya,ගුවන්යානය
guvanyanya,ගුවන්යානය
pinna,පින්න
pusa,පූසා
poosa,පූසා
yawanawa,යවනවා
yavanawa,යවනවා
awva,අව්ව
awwa,අව්ව
pansala,පන්සල
arinava,අරිනවා
arinawa,අරිනවා
kadaya,කඩය
kadya,කඩය
ayiya,අයියා
anda,ඇඳ
andha,ඇඳ
ande,ඇඳ
thraasajanaka,ත්‍රාසජනක
traasajanaka,ත්‍රාසජනක
pustakalaya,පුස්තකාලය
pusthakalaya,පුස්තකාලය
paena,පෑන
varadi,වැරදි
waradi,වැරදි
holmana,හොල්මන
pingana,පිඟාන
hawasa,හවස
havasa,හවස
nandha,නැන්දා
nanda,නැන්දා
nande,නැන්දා
kalaya,කැලය
rasnaya,රස්නය
miris,මිරිස්
amba,අඹ
itihasaya,ඉතිහාසය
ithihasaya,ඉතිහාසය
vahanawa,වහනවා
wahanawa,වහනවා
putuwa,පුටුව
putuva,පුටුව
roopaya,රූපය
rupaya,රූපය
daththa,දත්ත
dettha,දත්ත
dattha,දත්ත
diga,දිග
malli,මල්ලි
yaluwa,යාළුවා
yaluva,යාළුවා
mahatha,මහත
mahata,මහත
papol,පැපොල්
duka,දුක
paniwidya,පණිවිඩය
paniwidaya,පණිවිඩය
rachanawa,රචනාව
rachanava,රචනාව
lunu,ලුණු
lassana,ලස්සන
saakshiya,සාක්ෂිය
saaksiya,සාක්ෂිය
koppaya,කෝප්පය
hisa,හිස
gannawa,ගන්නවා
gannava,ගන්නවා
karawala,කරවල
karavala,කරවල
kota,කොට
nagitinava,නැගිටිනවා
nagitinawa,නැගිටිනවා
liyanawa,ලියනවා
liyanava,ලියනවා
mineemaruva,මිනීමරුවා
minimaruva,මිනීමරුවා
minimaruwa,මිනීමරුවා
mineemaruwa,මිනීමරුවා
rata,රට
taththa,තාත්තා
thaththa,තාත්තා
valakula,වලාකුළ
walakula,වලාකුළ
pothgula,පොත්ගුල
potgula,පොත්ගුල
ahanawa,අහනවා
ahanava,අහනවා
muhuda,මුහුද
muhudha,මුහුද
muhude,මුහුද
rogiya,රෝගියා
wimarshanaya,විමර්ශනය
wimarsanaya,විමර්ශනය
wibhagaya,විභාගය
naraka,නරක
kenthiya,කේන්තිය
kentiya,කේන්තිය
bhayaanaka,භයානක
parippu,පරිප්පු
sapaththu,සපත්තු
sapatthu,සපත්තු
wegawath,වේගවත්
wegavat,වේගවත්
wegawat,වේගවත්
wegavath,වේගවත්
thaakshanaya,තාක්ෂණය
taaksanaya,තාක්ෂණය
taakshanaya,තාක්ෂණය
heta,හෙට
aachchi,ආච්චි
watenawa,වැටෙනවා
vatenawa,වැටෙනවා
ira,ඉර
thathparaya,තත්පරය
tathparaya,තත්පරය
genenawa,ගෙනෙනවා
genenava,ගෙනෙනවා
anduma,ඇඳුම
denava,දෙනවා
denawa,දෙනවා
ada,අද
ad,අද
ade,අද
maalu,මාළු
yanawa,යනවා
yanava,යනවා
balanava,බලනවා
balanawa,බලනවා
kaamaraya,කාමරය
adhyapanaya,අධ්‍යාපනය
hadevatha,හදවත
hadavata,හදවත
hadavatha,හදවත
hadhawata,හදවත
hadewatha,හදවත
hadawatha,හදවත
hadwata,හදවත
denuma,දැනුම
dhanuma,දැනුම
danuma,දැනුම
video,වීඩියෝ
lipiya,ලිපිය
shabdya,ශබ්දය
shabdaya,ශබ්දය
sabdaya,ශබ්දය
shabdeya,ශබ්දය
sabdeya,ශබ්දය
duvanawa,දුවනවා
duwanawa,දුවනවා
pareeksaka,පරීක්ෂක
pariksaka,පරීක්ෂක
parikshaka,පරීක්ෂක
pareekshaka,පරීක්ෂක
katha,කැත
kata,කැත
tel,තෙල්
thel,තෙල්
hetuva,හේතුව
hethuwa,හේතුව
hethuva,හේතුව
hetuwa,හේතුව
jalaya,ජාලය
nagaraya,නගරය
kiyavanawa,කියවනවා
kiyawanawa,කියවනවා
hinawenava,හිනාවෙනවා
hinawenawa,හිනාවෙනවා
kakula,කකුල
winadiya,විනාඩිය
paninawa,පනිනවා
paninava,පනිනවා
palathuru,පලතුරු
palaturu,පලතුරු
kadhanava,කඩනවා
kadnava,කඩනවා
kadanawa,කඩනවා
kadanava,කඩනවා
abhirahasa,අබිරහස
soru,සොරු
kaema,කෑම
kawaraya,කවරය
kavaraya,කවරය
gala,ගල
kanava,කනවා
kanawa,කනවා
bonava,බොනවා
bonawa,බොනවා
vahanaya,වාහනය
wahanaya,වාහනය
mesaya,මේසය
pasa,පස
siya,සීයා
seeya,සීයා
hari,හරි
widyawa,විද්‍යාව
widyava,විද්‍යාව
palliya,පල්ලිය
maaluwa,මාළුවා
maaluva,මාළුවා
busrataya,බස්රථය
busrathaya,බස්රථය
miti,මිටි
honda,හොඳ
hitanawa,හිතනවා
hithanawa,හිතනවා
hithanava,හිතනවා
chayarupaya,ඡායාරූපය
chayaroopaya,ඡායාරූපය
beheth,බෙහෙත්
behet,බෙහෙත්
kettu,කෙට්ටු
kondeya,කොණ්ඩය
kondhaya,කොණ්ඩය
kondaya,කොණ්ඩය
kondya,කොණ්ඩය
nidgannawa,නිදාගන්නවා
nidgannava,නිදාගන්නවා
nidegannava,නිදාගන්නවා
nidagannawa,නිදාගන්නවා
nidagannava,නිදාගන්නවා
nidegannawa,නිදාගන්නවා
lokaya,ලෝකය
hande,හඳ
handa,හඳ
hand,හඳ
handha,හඳ
allanava,අල්ලනවා
allanawa,අල්ලනවා
kesel,කෙසෙල්
thiraya,තිරය
tiraya,තිරය
sangarawa,සඟරාව
sangarava,සඟරාව
baya,බය
maama,මාමා
enava,එනවා
enawa,එනවා
hand,හැන්ද
handa,හැන්ද
handha,හැන්ද
usa,උස
hadanava,හදනවා
hadhanawa,හදනවා
hadnava,හදනවා
hadenawa,හදනවා
hadanawa,හදනවා
kethaya,කේතය
ketaya,කේතය
pansala,පැන්සල
durakatana,දුරකථනය
durakathana,දුරකථනය
nasaya,නාසය
kowila,කෝවිල
deval,දවල්
dhaval,දවල්
dwal,දවල්
dawal,දවල්
daval,දවල්
yaturupuruva,යතුරුපුවරුව
yathurupuruwa,යතුරුපුවරුව
yaturupuruwa,යතුරුපුවරුව
yathurupuruva,යතුරුපුවරුව
elavalu,එළවළු
elawalu,එළවළු
waidyawaraya,වෛද්‍යවරයා
vaidyawaraya,වෛද්‍යවරයා
akka,අක්කා
nangi,නංගී
antarjalaya,අන්තර්ජාලය
antharjalaya,අන්තර්ජාලය
iye,ඊයේ
eeye,ඊයේ
wishvawidyalaya,විශ්වවිද්‍යාලය
wishwawidyalaya,විශ්වවිද්‍යාලය
wiswawidyalaya,විශ්වවිද්‍යාලය
wisvawidyalaya,විශ්වවිද්‍යාලය
sakaya,සැකය
katakaranava,කතාකරනවා
katakaranawa,කතාකරනවා
kathakaranawa,කතාකරනවා
kathakaranava,කතාකරනවා
katuvaraya,කතුවරයා
kathuwaraya,කතුවරයා
kathuvaraya,කතුවරයා
andanava,අඬනවා
andanawa,අඬනවා
andnawa,අඬනවා
andenava,අඬනවා
andenawa,අඬනවා
andnava,අඬනවා
paan,පාන්
rae,රෑ
rudhiraya,රුධිරය
aparaadhaya,අපරාධය
puvathpatha,පුවත්පත
puwatpatha,පුවත්පත
puwathpatha,පුවත්පත
puvatpatha,පුවත්පත
mithraya,මිත්‍රයා
mitraya,මිත්‍රයා
suvaya,සුවය
suwaya,සුවය
widiya,වීදිය
weediya,වීදිය
ghathanaya,ඝාතනය
ghatanaya,ඝාතනය
paryeshanaya,පර්යේෂණය
paryesanaya,පර්යේෂණය
kana,කන
ude,උදේ
sini,සීනි
seeni,සීනි
paya,පැය
kadedaasi,කඩදාසි
kadadaasi,කඩදාසි
kadhadaasi,කඩදාසි
anula ranavaka,අනූලා රණවක
anula ranawaka,අනූලා රණවක
santi gunavardhana,ශාන්ති ගුණවර්ධන
shanti gunawardhana,ශාන්ති ගුණවර්ධන
shanthi gunavardhana,ශාන්ති ගුණවර්ධන
shanthi gunawardhana,ශාන්ති ගුණවර්ධන
santhi gunawardhana,ශාන්ති ගුණවර්ධන
wimala somathilaka,විමල සෝමතිලාක
wimala somatilaka,විමල සෝමතිලාක
subhasini rathnayaka,සුභාෂිණී රත්නායක්
subhashini rathnayaka,සුභාෂිණී රත්නායක්
subhasini ratnayaka,සුභාෂිණී රත්නායක්
chandhani gunavardhana,චන්දනී ගුණවර්ධන
chandani gunawardhana,චන්දනී ගුණවර්ධන
chandhani gunawardhana,චන්දනී ගුණවර්ධන
vinitha prananthu,විනීතා ප්‍රනාන්දු
vinita prananthu,විනීතා ප්‍රනාන්දු
vineetha prananthu,විනීතා ප්‍රනාන්දු
vineeta prananthu,විනීතා ප්‍රනාන්දු
martin wickramasinghe,මාර්ටින් වික්‍රමසිංහ
ashoka ranatunga,අශෝක රණතුංග
ashoka ranathunga,අශෝක රණතුංග
asoka ranathunga,අශෝක රණතුංග
asoka ranatunga,අශෝක රණතුංග
ruvan pradip rathnayaka,රුවන් ප්‍රදීප් රත්නායක
ruwan pradip rathnayaka,රුවන් ප්‍රදීප් රත්නායක
ruwan pradip ratnayaka,රුවන් ප්‍රදීප් රත්නායක
ruwan pradeep rathnayaka,රුවන් ප්‍රදීප් රත්නායක
